Work Place,Branch,Region
Sonas Nursing Home (Inis Ree),Roscommon,"Mid-West, West and North West"
Sonas Nursing Home (Roscommon),Roscommon,"Mid-West, West and North West"
Sonas Nursing Home (Sligo),Sligo,"Mid-West, West and North West"
South Donegal-Unknown,South Donegal,"Mid-West, West and North West"
Sports Clinic West,Castlebar,"Mid-West, West and North West"
St Anne's Private Nursing Home (Mayo),Ballina,"Mid-West, West and North West"
St Annes Nursing Unit(Clifden),Galway,"Mid-West, West and North West"
St Anthony's Nursing Home (Limerick),Limerick,"Mid-West, West and North West"
St Anthonys Special School,Castlebar,"Mid-West, West and North West"
St Augustines Nursing Unit,Ballina,"Mid-West, West and North West"
St Brendan's High Support Unit,Ballina,"Mid-West, West and North West"
St Brendans Cnu (Loughrea),Ballinasloe,"Mid-West, West and North West"
St Brigids Hospital(Ballinasloe)),Ballinasloe,"Mid-West, West and North West"
St Camillus Hospital,Limerick,"Mid-West, West and North West"
St Catherine's Nursing Home (Newcastle West),Limerick,"Mid-West, West and North West"
St Ciarans Day Centre(Ck-On-Shannon,Leitrim,"Mid-West, West and North West"
St Colmans Nursing Unit(Achill),Castlebar,"Mid-West, West and North West"
St Columbas Nursing Home,Galway,"Mid-West, West and North West"
St Conals Hospital,Letterkenny,"Mid-West, West and North West"
St Conlons Nursing Unit (Hse-Mid-West),Tipperary-North-Mwhb,"Mid-West, West and North West"
St Eunan's Nursing Home,Letterkenny,"Mid-West, West and North West"
St Fionnans Nursing Unit,Castlebar,"Mid-West, West and North West"
St Francis Day Services (Newcastle),Galway,"Mid-West, West and North West"
St Francis Nursing Home,Ballinasloe,"Mid-West, West and North West"
St Gabriel's School & Centre,Limerick,"Mid-West, West and North West"
St Itas Hospital(Newcastlewest),Limerick,"Mid-West, West and North West"
St Itas-Western Care Asso(Ballina),Ballina,"Mid-West, West and North West"
St Johns Hospital(Limerick),Limerick,"Mid-West, West and North West"
St Johns Hospital(Sligo),Sligo,"Mid-West, West and North West"
St Josephs Care Home (Tuam),Galway,"Mid-West, West and North West"
St Josephs Hospital (Ennis),Clare,"Mid-West, West and North West"
St Josephs Hospital (Limerick),Limerick,"Mid-West, West and North West"
St Josephs Hospital (Stranorlar),Letterkenny,"Mid-West, West and North West"
St Kieran's Nursing Home,Tipperary-North-Mwhb,"Mid-West, West and North West"
St Martins Respite-Hse-Nw,Letterkenny,"Mid-West, West and North West"
St Marys & Josephs Centre(Newport),Galway,"Mid-West, West and North West"
St Marys Residential Care Centre (Galway),Galway,"Mid-West, West and North West"
St Michaels Nursing Home (Co.Limerick),Limerick,"Mid-West, West and North West"
St Olivers (Western Care-Castlebar),Castlebar,"Mid-West, West and North West"
St Patricks Hospital (Hse-Nw),Leitrim,"Mid-West, West and North West"
St Pauls Nursing Home (Limerick),Limerick,"Mid-West, West and North West"
St Phelim's Nursing Home,Leitrim,"Mid-West, West and North West"
St Senan's .(Nursing Home) Kilrush,Clare,"Mid-West, West and North West"
St Theresa's Nursing Home (Co. Clare),Clare,"Mid-West, West and North West"
St Theresa's Nursing Home (Thurles),Tipperary-North-Mwhb,"Mid-West, West and North West"
Stella Maris Nursing Home,Clare,"Mid-West, West and North West"
Suainhneas Respite Centre(Nwhb-Slig,Sligo,"Mid-West, West and North West"
Summerville Healthcare (N/H),Sligo,"Mid-West, West and North West"
Swinford District Hospital,Ballina,"Mid-West, West and North West"
Tcp Home Care (Limerick),Limerick,"Mid-West, West and North West"
Tcp Home Care (Western Region),Galway,"Mid-West, West and North West"
Tearmainn Bhride Nursing Home,Roscommon,"Mid-West, West and North West"
The Park Nursing Home (Limerick),Limerick,"Mid-West, West and North West"
Thorpe's Nursing Home,Limerick,"Mid-West, West and North West"
Ti Aire Nursing Home (Belmullet),Ballina,"Mid-West, West and North West"
Tipperary-North-Mwhb-Unknown,Tipperary-North-Mwhb,"Mid-West, West and North West"
Ttm Healthcare (Ennis),Clare,"Mid-West, West and North West"
University Hospital Limerick,Limerick,"Mid-West, West and North West"
University Maternity Hospital Limerick,Limerick,"Mid-West, West and North West"
Vhi (Galway),Galway,"Mid-West, West and North West"
Vhi (Limerick),Limerick,"Mid-West, West and North West"
Villa Marie Nursing Home,Tipperary-North-Mwhb,"Mid-West, West and North West"
Village Care Centre,Galway,"Mid-West, West and North West"
Wellstone Clinic (Galway),Galway,"Mid-West, West and North West"
Westdoc (Gp Service-Hse-West),Galway,"Mid-West, West and North West"
Western Alzheimer Foundation,Castlebar,"Mid-West, West and North West"
Western Care -  (St Johns),Galway,"Mid-West, West and North West"
24 Hour Care Services (Southern Region),Kerry,South - South East
360 Medical,Cork Vol/Private Branch,South - South East
Abbeygale House Nursing Home,Wexford,South - South East
Abbeylands Nursing Home,Mallow,South - South East
Abode (Cork),Cork Vol/Private Branch,South - South East
Acorn Lodge Nursing Home,Cashel - ( Sehb ),South - South East
Advanced Medical Services,Cork Vol/Private Branch,South - South East
Affidea Expresscare (Cork),Cork Vol/Private Branch,South - South East
Aiseiri Treatment Centre,Cashel - ( Sehb ),South - South East
Aislinn Care Centre,Kilkenny,South - South East
Allergy Clinic (Cork),Mallow,South - South East
Alzheimers Society Day Centre (Waterford),Waterford,South - South East
Amberley Nursing Home,Mallow,South - South East
Aperee Belgooly Cramers Court Nursing Home,Cork Vol/Private Branch,South - South East
Aperee Churchtown Mallow Cork,Mallow,South - South East
Aperee Conna Nursing Home Cork,Cork Vol/Private Branch,South - South East
Aperee Deerpark House Nursing Home (Bantry),Bantry,South - South East
Aperee Haven Wood Retirement Village,Waterford,South - South East
Aperee Living (Ocean View Nursing Home),Kerry,South - South East
Aperee Living Kilkenny,Kilkenny,South - South East
Apple Operations Europe,Cork Vol/Private Branch,South - South East
Araglen House Nursing Home,Mallow,South - South East
Aras Mhuire Nursing Home(Listowel),Kerry,South - South East
Archerstrath Nursing Home,Kilkenny,South - South East
Ard Aoibhinn Centre(Wexford),Wexford,South - South East
Ardfoyle Convent,Cork Vol/Private Branch,South - South East
Ardu (Hse Substance Misuse),Kilkenny,South - South East
Ashborough Lodge Nursing Home,Kerry,South - South East
Ashlawn House Nursing Home,Clonmel - ( Sehb ),South - South East
Aurora Kilkenny),Kilkenny,South - South East
Ballincollig Comm Nursing Unit (Mowlam Healthcare),Cork Vol/Private Branch,South - South East
Ballincurrig Care Centre,Cork Vol/Private Branch,South - South East
Bandon Community Hospital,Cork H.S.E. Branch,South - South East
Bandon Day Care Centre,Cork H.S.E. Branch,South - South East
Bandon Medical Practice,Cork Vol/Private Branch,South - South East
Bantry Day Care Centre (Shb),Bantry,South - South East
Bantry General Hospital,Bantry,South - South East
Bantry-Unknown,Bantry,South - South East
Bausch & Lomb (Ire) Ltd,Waterford,South - South East
Beaumont Residential Care (Cork),Cork Vol/Private Branch,South - South East
Bethany House (Welfare-Carlow),Carlow,South - South East
Bishopscourt Residential Nursing Home,Cork Vol/Private Branch,South - South East
Blair's Hill Nursing Home,Cork Vol/Private Branch,South - South East
Blarney Nursing Home,Cork Vol/Private Branch,South - South East
Blue Themis Consulting,Cashel - ( Sehb ),South - South East
Bluebird Care (Tralee),Kerry,South - South East
Bluebird Homecare (South East),Kilkenny,South - South East
Bon Secours Care Village - Mount Desert,Cork Vol/Private Branch,South - South East
Bon Secours Hospital (Cork),Cork Vol/Private Branch,South - South East
Bon Secours Hospital (Tralee),Kerry,South - South East
Borris Lodge Nursing Home,Carlow,South - South East
Boston Scientific (Clonmel),Clonmel - ( Sehb ),South - South East
Bramleigh Hursing Home,Cashel - ( Sehb ),South - South East
Breast Check (Cork),Cork H.S.E. Branch,South - South East
Bridhaven Nursing Home,Mallow,South - South East
Brookfield Care Centre,Cork Vol/Private Branch,South - South East
Brookhaven Nursing Home,Kilkenny,South - South East
Bros Of Charity (Belmont Park Waterford),Waterford,South - South East
Bros Of Charity (Rosmiri Centre-Bandon),Cork Vol/Private Branch,South - South East
Bros Of Charity-Clonmel,Clonmel - ( Sehb ),South - South East
Bros Of Charity-St Patricks Centre-Upton,Cork Vol/Private Branch,South - South East
Bros Of Charity(Lota),Cork Vol/Private Branch,South - South East
Brother Jerome Day Care Centre (Share),Cork Vol/Private Branch,South - South East
Brothers Of Charity(Killarney),Kerry,South - South East
Bushmount Nursing Home,Clonakilty/Skibb.,South - South East
Caherciveen Dist.Hospital,Kerry,South - South East
Cahereen Care Centre,Cork Vol/Private Branch,South - South East
Callan Medical Centre,Kilkenny,South - South East
Care Choice - Clonakilty,Clonakilty/Skibb.,South - South East
Care Choice Montenotte,Cork Vol/Private Branch,South - South East
Care Choice Nursing Home (Macroom),Cork Vol/Private Branch,South - South East
Care Choice Nursing Home (Waterford),Waterford,South - South East
Care Choice Nursing Home Ballynoe,Cork Vol/Private Branch,South - South East
Care Direct Nursing Home,Waterford,South - South East
Caredoc ( Carlow ),Carlow,South - South East
Caredoc (Dungarvan),Waterford,South - South East
Caredoc (Waterford),Waterford,South - South East
Caredoc (Wexford),Wexford,South - South East
Caredoc CIT Carlow,Carlow,South - South East
Caredoc CIT Tipperary,Cashel - ( Sehb ),South - South East
Caredoc CIT Waterford,Waterford,South - South East
Caredoc CIT Wexford,Wexford,South - South East
Caredoc Tipperary,Cashel - ( Sehb ),South - South East
Carlow Day Centre,Carlow,South - South East
Carlow District Hospital,Carlow,South - South East
Carlow-Unknown,Carlow,South - South East
Carrigabrick Lodge,Mallow,South - South East
Carrighdoun Practice (Gp Practice),Waterford,South - South East
Carriglea M'Cap.Centre(Dungarvan),Waterford,South - South East
Cashel - ( Sehb )-Unknown,Cashel - ( Sehb ),South - South East
Castle Gardens Nursing Home,Wexford,South - South East
Castlebridge Manor Nursing Home,Wexford,South - South East
Castlecomer District Hospital,Kilkenny,South - South East
Castletownbere District Hospital,Bantry,South - South East
Charleville Lodge Nursing Home,Cork Vol/Private Branch,South - South East
Charleville Mental Handicapped,Cork Vol/Private Branch,South - South East
Cherryfield Nursing Home,Wexford,South - South East
Cherrygrove Nursing Home,Wexford,South - South East
Cheshire Home (Glanmire),Cork Vol/Private Branch,South - South East
Cheshire Ireland (Carlow),Carlow,South - South East
Cheshire Ireland Waterford,Waterford,South - South East
Chevron Training,Wexford,South - South East
Child & Family Agency - Tusla - (Clonmel),Clonmel - ( Sehb ),South - South East
Child & Family Agency - Tusla (Waterford),Waterford,South - South East
Child & Family Agency -Tusla - (Cork),Cork H.S.E. Branch,South - South East
Child & Family Agency -Tusla- (Tralee),Kerry,South - South East
Clady Medical Care,Cork Vol/Private Branch,South - South East
Clanmaurice Medical Centre,Kerry,South - South East
Clifton Convalescent Home,Cork Vol/Private Branch,South - South East
Clogheen District Hospital (St Theresa'S),Clonmel - ( Sehb ),South - South East
Clonakilty Community Hospital,Clonakilty/Skibb.,South - South East
Clonakilty/Skibb.-Unknown,Clonakilty/Skibb.,South - South East
Clonmel - ( Sehb )-Unknown,Clonmel - ( Sehb ),South - South East
Cluain Arann Nursing Unit,Cashel - ( Sehb ),South - South East
Co-Action,Bantry,South - South East
Cobh General Hospital,Cork Vol/Private Branch,South - South East
Cois Abhainn Nursing Unit(Youghal),Cork H.S.E. Branch,South - South East
Community Care  Carlow,Carlow,South - South East
Community Care Area Kerry,Kerry,South - South East
Community Care Area Kerry (closed),Kerry,South - South East
Community Care Area Kilkenny,Kilkenny,South - South East
Community Care Area North Lee,Cork H.S.E. Branch,South - South East
Community Care Area South Lee,Cork H.S.E. Branch,South - South East
Community Care Area Waterford,Waterford,South - South East
Community Care Area West Cork (Bantry),Bantry,South - South East
Community Care Area Wexford,Wexford,South - South East
Community Care North Cork (Mallow),Mallow,South - South East
Community Care South Tipperary (Cashel),Cashel - ( Sehb ),South - South East
Community Care South Tipperary (Clonmel),Clonmel - ( Sehb ),South - South East
Community Care West Cork (Clonakilty),Clonakilty/Skibb.,South - South East
Cope Foundation,Cork Vol/Private Branch,South - South East
Cork Dental Hospital,Cork Vol/Private Branch,South - South East
Cork Eye Clinic,Cork Vol/Private Branch,South - South East
Cork H.S.E. Branch-Unknown,Cork H.S.E. Branch,South - South East
Cork Medical Centre (Gp Services),Cork Vol/Private Branch,South - South East
Cork Military Hospital,Cork Vol/Private Branch,South - South East
Cork University Hospital,Cork H.S.E. Branch,South - South East
Cork University Hospital - St Finbarr's Rehab Unit,Cork H.S.E. Branch,South - South East
Cork University Maternity Hospital,Cork H.S.E. Branch,South - South East
Cork Vol/Private Branch-Unknown,Cork Vol/Private Branch,South - South East
Corpus Christi Nursing Home,Mallow,South - South East
Cottage Nursing Home,Clonmel - ( Sehb ),South - South East
Cpl Health Care (Southern Region),Cork Vol/Private Branch,South - South East
Cuan Mhuire (Cork),Cork Vol/Private Branch,South - South East
Cuil Didin Nursing Home,Kerry,South - South East
Curam Care Home Carrigaline,Cork Vol/Private Branch,South - South East
Cuskinny Court Nursing Home,Cork Vol/Private Branch,South - South East
Damien House,Clonmel - ( Sehb ),South - South East
Darraglynn Nursing Home (Cork),Cork Vol/Private Branch,South - South East
Deerpark Nursing Home (Clonmel),Clonmel - ( Sehb ),South - South East
Dept. Of Health (South East Region),Kilkenny,South - South East
Dingle Medical Centre,Kerry,South - South East
Douglas Nursing Home,Cork Vol/Private Branch,South - South East
Doyle Health & Safety Ltd.,Cork Vol/Private Branch,South - South East
Dr Mc Brinn- Medical Practice (Waterford),Waterford,South - South East
Drakelands House Nursing Home,Kilkenny,South - South East
Dunabbey Welfare Home(Dungarvan),Waterford,South - South East
Dungarvan Community Hospital,Waterford,South - South East
Dunmanway District Hospital,Bantry,South - South East
Elmwood Medical Practice,Cork Vol/Private Branch,South - South East
Ely Hospital(Wexford),Wexford,South - South East
Enable Ireland (Cork),Cork Vol/Private Branch,South - South East
Enable Ireland (South East),Carlow,South - South East
Enable Ireland (Tralee),Kerry,South - South East
Fairfield Nursing Home,Bantry,South - South East
Fairyhill Nursing Home,Mallow,South - South East
Farranlea Community Nursing Unit,Cork H.S.E. Branch,South - South East
Fennor Hill Care Facility,Kilkenny,South - South East
Fermoy District Hospital,Mallow,South - South East
Fresenius Medical Care (Kilkenny),Kilkenny,South - South East
Glendonagh Nursing Home,Cork Vol/Private Branch,South - South East
Gorey District Hospital,Wexford,South - South East
Gowran Abbey Nursing Home,Kilkenny,South - South East
Grange Con Nursing Home,Cork Vol/Private Branch,South - South East
Greenhill Nursing Home(Ck-On-Suir),Clonmel - ( Sehb ),South - South East
Haulbowline Naval Base,Cork Vol/Private Branch,South - South East
Haven Bay Nursing Home,Cork Vol/Private Branch,South - South East
Heather House Community Nursing Unit,Cork H.S.E. Branch,South - South East
Holy Angels Day Centre(Carlow),Carlow,South - South East
Hope Cancer Support Centre,Wexford,South - South East
Hse Killarney Community Care,Kerry,South - South East
Hse South (Cork/Kerry),Cork H.S.E. Branch,South - South East
Hse South Eastern Region & Voluntary Id Nursing Svcs,Waterford,South - South East
Hse South Eastern Region Psychiatric Nursing Services,Waterford,South - South East
Hse South Mental Health Services,Cork H.S.E. Branch,South - South East
Irish Blood Transfusion Board (Carlow),Carlow,South - South East
Irish Blood Transfusion Service-Cork,Cork Vol/Private Branch,South - South East
Irish Cancer Society (Cork/South Kerry),Cork Vol/Private Branch,South - South East
Irish Cancer Society (South East),Wexford,South - South East
Irish Wheelchair Association (Cork),Cork Vol/Private Branch,South - South East
Johnstown Medical Centre (Waterford) - Gp Practice,Waterford,South - South East
Kanturk Community Hospital,Mallow,South - South East
Kenmare Community Hopsital,Kerry,South - South East
Kerlogue Nursing Home,Wexford,South - South East
Kerry Bio-Science,Kerry,South - South East
Kerry Community Services,Kerry,South - South East
Kerry Intervention & Disability Services (Kids),Kerry,South - South East
Kerry Parents & Friends Association,Kerry,South - South East
Kerry-Unknown,Kerry,South - South East
Kerry-Unknown (closed),Kerry,South - South East
Kilcara Nursing Home,Kerry,South - South East
Kilcreene Orthopaedic Hospital,Kilkenny,South - South East
Kilkenny Health Project,Kilkenny,South - South East
Kilkenny-Unknown,Kilkenny,South - South East
Killarney Community Hospital,Kerry,South - South East
Killarney Nursing Home (Mowlam Group),Kerry,South - South East
Killure Nursing Home,Waterford,South - South East
Kinsale Community Hospital,Cork H.S.E. Branch,South - South East
Knight's Hill Medical Centre,Cork Vol/Private Branch,South - South East
Knockeen Nursing Home,Wexford,South - South East
L'Arche (Cork),Cork Vol/Private Branch,South - South East
Lawson House Nursing Home,Wexford,South - South East
Laya Healthcare,Cork Vol/Private Branch,South - South East
Lemongrove House (Enniscorthy),Wexford,South - South East
Listowel District Hospital,Kerry,South - South East
Little Sisters Of The Poor(W'Ford),Waterford,South - South East
Loughboy Medical Centre (Kilkenny),Kilkenny,South - South East
Lystoll Lodge Nursing Home,Kerry,South - South East
Macroom District Hospital,Cork H.S.E. Branch,South - South East
Mallow General Hospital,Mallow,South - South East
Mallow-Unknown,Mallow,South - South East
Maryborough Nursing Home,Cork Vol/Private Branch,South - South East
Marymount University Hospital & Hospice,Cork Vol/Private Branch,South - South East
Mater Private Hospital (Cork City),Cork Vol/Private Branch,South - South East
Matt Talbot Adolescent Services,Cork Vol/Private Branch,South - South East
Mc Auley Day Care Centre(Midleton),Cork H.S.E. Branch,South - South East
Medical Centre - Mphc (Gp Practice),Mallow,South - South East
Medigroup,Cork Vol/Private Branch,South - South East
Medmark Occupational Health Cork,Cork Vol/Private Branch,South - South East
Melview Nursing Home,Clonmel - ( Sehb ),South - South East
Mercy University Hospital,Cork Vol/Private Branch,South - South East
Middletown House Nursing Home,Wexford,South - South East
Midleton Community Hospital,Cork H.S.E. Branch,South - South East
Millbrook Hospital(Bandon),Cork Vol/Private Branch,South - South East
Millhouse Care Centre,Wexford,South - South East
Millstreet District Hospital,Mallow,South - South East
Minerva Ireland Ltd                 021-321259,Cork Vol/Private Branch,South - South East
Mitchelstown Day Care Centre,Mallow,South - South East
Mizen Primary Care Practice (Schull),Bantry,South - South East
Montenotte Care Centre(Cork),Cork Vol/Private Branch,South - South East
Mooncoin Residential Care Centre,Kilkenny,South - South East
Mount Alvernia Hospital(Mallow),Mallow,South - South East
Mount Cara Nursing Home,Cork Vol/Private Branch,South - South East
Mowlam Nursing Home(Waterford),Waterford,South - South East
National Tongue Tie Centre,Clonmel - ( Sehb ),South - South East
Nazareth House (Killorglin),Kerry,South - South East
Nazareth House(Mallow),Mallow,South - South East
New Houghton Hospital,Wexford,South - South East
New Ross Community Hospital,Wexford,South - South East
Nmpdu Cork (Hse),Cork H.S.E. Branch,South - South East
Novartis Ringaskiddy Ltd,Cork Vol/Private Branch,South - South East
Nurse On Call - Wexford,Wexford,South - South East
Nurse On Call (Waterford),Waterford,South - South East
Nurse On Call- Cork/Kerry,Cork Vol/Private Branch,South - South East
Oakfield Nursing Home,Wexford,South - South East
Oaklands Nursing Home (Listowel),Kerry,South - South East
Oaklodge Nursing Home,Mallow,South - South East
Our Lady Of Fatima Home,Kerry,South - South East
Our Lady Of Lourdes Nursing Home (Killarney),Kerry,South - South East
Our Ladys Hospital(Cashel),Cashel - ( Sehb ),South - South East
Padre Pio Home (Mallow),Mallow,South - South East
Padre Pio Rest Home (Waterford),Waterford,South - South East
Padua Medical Centre,Cork Vol/Private Branch,South - South East
Powder Mills Nursing Home,Cork Vol/Private Branch,South - South East
Rathkeevan Nursing Home (Clonmel),Clonmel - ( Sehb ),South - South East
Ravenscourt Hospital(Cork),Cork H.S.E. Branch,South - South East
Reachability,Wexford,South - South East
Resilience Care (Cork),Cork Vol/Private Branch,South - South East
Rivendell Centre - Wexford-Sehb,Wexford,South - South East
Rochestown Nursing Home,Cork Vol/Private Branch,South - South East
Rockmount Care Centre,Kerry,South - South East
Rockshire Care Centre,Waterford,South - South East
Rockwell College,Cashel - ( Sehb ),South - South East
Ros Aoibhinn Nursing Home,Wexford,South - South East
Rosenalee Care Centre,Cork Vol/Private Branch,South - South East
Sacred Heart Home (Carlow),Carlow,South - South East
Sacred Heart Nursing Home (Kilkenny),Kilkenny,South - South East
Schull District Hospital,Bantry,South - South East
Scoil Aonghusa,Cashel - ( Sehb ),South - South East
Scotia Clinic,Kerry,South - South East
Scottish Nursing Guild (South/East Region),Kilkenny,South - South East
Scottish Nursing Guild (Southern Region),Cork Vol/Private Branch,South - South East
Servisource (Cork),Cork Vol/Private Branch,South - South East
Sesame Early Years Specialist Day Service,Waterford,South - South East
Setu (Carlow),Carlow,South - South East
Signacare (Bunclody),Wexford,South - South East
Signacare Nursing Home (Waterford),Waterford,South - South East
Signature Care,Carlow,South - South East
Sims Clinic (Cork),Cork Vol/Private Branch,South - South East
Skibbereen District Hospital,Clonakilty/Skibb.,South - South East
Skibbereen Residential Care Centre,Clonakilty/Skibb.,South - South East
Slaney Medical Centre,Wexford,South - South East
Sonas Nursing Home (Carlow),Carlow,South - South East
Sonas Nursing Home (Tipperary),Cashel - ( Sehb ),South - South East
Sos - Kilkenny,Kilkenny,South - South East
South Doc Call Centre (Killarney),Kerry,South - South East
South Doc Cit,Cork Vol/Private Branch,South - South East
South Infirmary Victoria Hospital,Cork Vol/Private Branch,South - South East
South Tipperary Hospice,Clonmel - ( Sehb ),South - South East
South West Doctors On Call(Cork),Cork Vol/Private Branch,South - South East
St Aidans Day Care Centre,Wexford,South - South East
St Anthonys Nursing Unit(Clonmel),Clonmel - ( Sehb ),South - South East
St Bridgets Hospital(Cr-On-Suir),Clonmel - ( Sehb ),South - South East
St Canices Hospital(Kilkenny),Kilkenny,South - South East
St Catherines Nursing Home (Kilkenny),Kilkenny,South - South East
St Columbas Hospital,Kilkenny,South - South East
St Dympnas Hospital (Carlow),Carlow,South - South East
St Fiaccs Day Care - Carlow,Carlow,South - South East
St Finbarrs Hospital,Cork H.S.E. Branch,South - South East
St Francis Farm Detox Centre,Carlow,South - South East
St Francis Gardens Day Centre,Cork Vol/Private Branch,South - South East
St John Of God - (St Mary Of The Angels),Kerry,South - South East
St John Of God (Tralee),Kerry,South - South East
St Johns Hospital(Enniscorthy),Wexford,South - South East
St Joseph's Nursing Home (Kenmare),Kerry,South - South East
St Josephs Foundation (Charleville),Mallow,South - South East
St Louis Nursing Home,Kerry,South - South East
St Lukes General Hospital(Kilkenny),Kilkenny,South - South East
St Lukes Home(Cork),Cork Vol/Private Branch,South - South East
St Lukes Hospital(Clonmel),Clonmel - ( Sehb ),South - South East
St Martha's Nursing Home (Mowlam Group),Mallow,South - South East
St Otterans Hospital,Waterford,South - South East
St Patrick's Special School,Wexford,South - South East
St Patricks Hospital(Cashel),Cashel - ( Sehb ),South - South East
St Raphaels Hospital(Youghal),Cork H.S.E. Branch,South - South East
St Senans Hospital(Enniscorthy),Wexford,South - South East
St Stephens Hospital(Cork),Cork H.S.E. Branch,South - South East
St Vincent's Centre (Cork) - Cope,Cork Vol/Private Branch,South - South East
Strandside Medical Centre - (Dungarvan),Waterford,South - South East
Strawhall Nursing Home (Cork),Mallow,South - South East
Tcp Homecare (South East),Wexford,South - South East
Teach Altra Nursing Home,Mallow,South - South East
Teach Saolrsa Centre(Hse-South East),Wexford,South - South East
The Keogh Practice (Gp Practice),Waterford,South - South East
Thermofisher Scientific,Cork Vol/Private Branch,South - South East
Tinnypark Nursing Home,Kilkenny,South - South East
Tipperary University Hospital,Clonmel - ( Sehb ),South - South East
Tralee Community Nursing Unit,Kerry,South - South East
Ttm Recruitment Cork,Cork Vol/Private Branch,South - South East
Tullow Family Medical Centre,Carlow,South - South East
Ultra Lase Ireland Ltd,Cork Vol/Private Branch,South - South East
University Hospital Kerry,Kerry,South - South East
Upmc Aut Evan Hospital(Kilkenny),Kilkenny,South - South East
Upmc Whitfield Hospital (Waterford),Waterford,South - South East
Valentia Hospital,Kerry,South - South East
Valentia House Nursing Home (Wexford),Wexford,South - South East
Vhi-(Cork),Cork Vol/Private Branch,South - South East
Waterford Hospice Movement,Waterford,South - South East
Waterford Medical Service,Waterford,South - South East
Waterford Residential Care Centre,Waterford,South - South East
Waterford University Hospital,Waterford,South - South East
Waterford-Unknown,Waterford,South - South East
Waterstone Clinic (Cork),Cork Vol/Private Branch,South - South East
Waterville Medical Centre,Kerry,South - South East
Wellstone Clinic(Kilkenny),Kilkenny,South - South East
West Kerry Community Hospital (Dingle),Kerry,South - South East
Wexford General Hospital,Wexford,South - South East
Wexford Hospice Home Care,Wexford,South - South East
Wexford Residential Intelectual  Disability Services,Wexford,South - South East
Wexford-Unknown,Wexford,South - South East
Wida Robin Hill,Waterford,South - South East
Willow Brooke Care Centre (Windmill Care Group),Kerry,South - South East
Willowbrook Lodge Nursing Home (Fethard),Clonmel - ( Sehb ),South - South East
Windmill Nursing Home,Mallow,South - South East
Womens Health Group,Kilkenny,South - South East
Woodlands Nursing Home (Tipperary),Cashel - ( Sehb ),South - South East
Wygram Nursing Home,Wexford,South - South East
Youghal And District Nursing Home,Cork Vol/Private Branch,South - South East
Youghal District Hospital,Cork H.S.E. Branch,South - South East
